Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-88.88646,2,-44.581597,3,-31.100387,4,-29.443249,5,-31.681947
2,1,-88.867822,2,-43.131313,3,-29.653686,4,-28.001796,5,-30.240631
3,1,-88.184009,2,-42.347806,3,-28.87576,4,-27.229103,5,-29.467941
4,1,-87.062883,2,-41.685313,3,-28.220778,4,-26.57934,5,-28.81805
5,1,-88.014721,2,-43.554778,3,-30.099619,4,-28.463385,5,-30.701838
6,1,-87.290651,2,-44.059166,3,-30.615179,4,-28.984134,5,-31.222207
7,1,-81.145529,2,-39.312363,3,-25.881279,4,-24.255406,5,-26.49298
8,1,-80.400881,2,-40.030141,3,-26.613627,4,-24.992911,5,-27.229869
9,1,-78.765682,2,-39.853303,3,-26.452964,4,-24.837388,5,-27.073616
10,1,-78.199038,2,-40.701743,3,-27.31912,4,-25.708667,5,-27.944058
11,1,-76.226274,2,-40.080725,3,-26.717299,4,-25.111953,5,-27.346399
12,1,-74.912492,2,-40.046918,3,-26.704111,4,-25.103854,5,-27.337253
13,1,-66.933113,2,-33.273969,3,-19.953143,4,-18.357957,5,-20.590209
14,1,-64.757729,2,-32.2333,3,-18.935762,4,-17.345629,5,-19.576638
15,1,-63.642069,2,-32.184287,3,-18.911287,4,-17.32619,5,-19.555861
16,1,-62.30267,2,-31.847903,3,-18.600638,4,-17.020557,5,-19.248801
17,1,-61.183272,2,-31.67254,3,-18.452153,4,-16.87707,5,-19.103797
18,1,-61.173267,2,-32.552151,3,-19.359734,4,-17.789631,5,-20.014756
19,1,-65.662832,2,-37.881228,3,-24.717822,4,-23.152679,5,-25.376121
20,1,-65.444044,2,-38.455848,3,-25.322446,4,-23.762245,5,-25.983922
