Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-53.635727,2,-61.11453,3,-37.075837,4,-32.910829,5,-33.202981
2,1,-53.206261,2,-61.14187,3,-37.158084,4,-32.938329,5,-33.192442
3,1,-53.213224,2,-61.575704,3,-37.672313,4,-33.396693,5,-33.611984
4,1,-52.099111,2,-60.859059,3,-37.062258,4,-32.729624,5,-32.905298
5,1,-51.195295,2,-60.322838,3,-36.659326,4,-32.268497,5,-32.403748
6,1,-51.245397,2,-60.710427,3,-37.207186,4,-32.75695,5,-32.850962
7,1,-52.318541,2,-62.090954,3,-38.775022,4,-34.264136,5,-34.316081
8,1,-52.447425,2,-62.497358,3,-39.395605,4,-34.822789,5,-34.831828
9,1,-51.365064,2,-61.663127,3,-38.802028,4,-34.165968,5,-34.131252
10,1,-51.367546,2,-61.885036,3,-39.290467,4,-34.589813,5,-34.510483
11,1,-47.064205,2,-57.773304,3,-35.470349,4,-30.703714,5,-30.578898
12,1,-48.610147,2,-59.484096,3,-37.496879,4,-32.662835,5,-32.491654
13,1,-47.933685,2,-58.946931,3,-37.298474,4,-32.395554,5,-32.177117
14,1,-48.910232,2,-60.038547,3,-38.750653,4,-33.77735,5,-33.510756
15,1,-48.006119,2,-59.226684,3,-38.319858,4,-33.274619,5,-32.958958
16,1,-49.389185,2,-60.680656,3,-40.174041,4,-35.05527,5,-34.689622
17,1,-49.419875,2,-60.76241,3,-40.67376,4,-35.479816,5,-35.063252
18,1,-48.075175,2,-59.450448,3,-39.79612,4,-34.525313,5,-34.056895
19,1,-47.240269,2,-58.631451,3,-39.426423,4,-34.077013,5,-33.555795
20,1,-48.923963,2,-60.315692,3,-41.573593,4,-36.14379,5,-35.568817
