Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-43.170257,2,-49.415115,3,-24.584882,4,-20.618877,5,-20.831159
2,1,-49.988066,2,-58.918734,3,-32.875722,4,-28.836174,5,-29.020373
3,1,-49.612347,2,-59.95844,3,-32.584502,4,-28.468778,5,-28.622767
4,1,-44.985284,2,-56.943891,3,-28.112085,4,-23.917421,5,-24.038906
5,1,-44.190289,2,-57.965242,3,-27.547847,4,-23.271339,5,-23.357843
6,1,-41.228824,2,-57.009842,3,-24.897881,4,-20.536475,5,-20.585322
7,1,-38.885648,2,-56.804371,3,-22.949904,4,-18.500394,5,-18.508688
8,1,-38.022836,2,-58.069755,3,-22.56707,4,-18.026082,5,-17.990693
9,1,-34.132032,2,-56.029682,3,-19.240163,4,-14.60415,5,-14.521686
10,1,-37.184738,2,-60.277582,3,-22.937993,4,-18.203227,5,-18.070014
11,1,-37.451439,2,-60.773707,3,-23.926788,4,-19.089348,5,-18.901402
12,1,-47.063054,2,-69.653138,3,-34.332003,4,-29.38777,5,-29.140767
13,1,-52.815869,2,-74.021746,3,-40.943677,4,-35.888324,5,-35.577567
14,1,-51.825614,2,-71.360007,3,-40.870918,4,-35.699903,5,-35.320289
15,1,-53.811644,2,-71.639353,3,-43.82645,4,-38.53501,5,-38.08099
16,1,-52.379482,2,-68.594536,3,-43.409446,4,-37.992596,5,-37.458129
17,1,-44.911838,2,-59.659298,3,-36.996764,4,-31.449295,5,-30.827801
18,1,-41.249817,2,-54.685726,3,-34.424284,4,-28.740765,5,-28.025076
19,1,-39.352058,2,-51.625469,3,-33.646104,4,-27.820897,5,-27.003192
20,1,-46.372369,2,-57.618443,3,-41.812191,4,-35.839464,5,-34.911212
