Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-42.774508,2,-60.84679,3,-40.734167,4,-33.218105,5,-31.498638
2,1,-41.276861,2,-59.59845,3,-40.720858,4,-33.017591,5,-31.2024
3,1,-43.819029,2,-61.564505,3,-43.88552,4,-35.993018,5,-34.082449
4,1,-41.180353,2,-58.377387,3,-41.86034,4,-33.776807,5,-31.771298
5,1,-40.598162,2,-57.273989,3,-41.882647,4,-33.606544,5,-31.50663
6,1,-38.370203,2,-54.551177,3,-40.250145,4,-31.780219,5,-29.586529
7,1,-37.037415,2,-52.748746,3,-39.503689,4,-30.839001,5,-28.552255
8,1,-37.562684,2,-52.828301,3,-40.606036,4,-31.745987,5,-29.367
9,1,-29.138181,2,-43.98068,3,-32.74919,4,-23.693555,5,-21.223231
10,1,-31.034404,2,-45.475043,3,-35.203442,4,-25.952393,5,-23.391725
11,1,-29.397397,2,-43.45613,3,-34.114586,4,-24.668727,5,-22.018796
12,1,-33.241432,2,-46.936964,3,-38.496612,4,-28.857007,5,-26.118976
13,1,-33.391349,2,-46.741198,3,-39.174037,4,-29.342237,5,-26.517354
14,1,-31.202689,2,-44.223256,3,-37.502046,4,-27.480118,5,-24.569709
15,1,-31.389698,2,-44.096338,3,-38.194501,4,-27.985051,5,-24.990518
16,1,-29.463905,2,-41.870999,3,-36.762515,4,-26.368714,5,-23.291533
17,1,-33.153433,2,-45.274456,3,-40.93377,4,-30.359374,5,-27.201089
18,1,-33.325903,2,-45.173488,3,-41.575429,4,-30.824795,5,-27.587017
19,1,-33.26361,2,-44.84961,3,-41.969309,4,-31.047408,5,-27.731809
20,1,-27.688672,2,-39.024216,3,-36.837042,4,-25.749467,5,-22.357778
