Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-61.810821,2,-54.935297,3,-34.963804,4,-31.822518,5,-32.856776
2,1,-69.515355,2,-65.616004,3,-44.652796,4,-41.322482,5,-42.213748
3,1,-68.492481,2,-67.745065,3,-45.700852,4,-42.174715,5,-42.920221
4,1,-55.815192,2,-58.156237,3,-34.932685,4,-31.203964,5,-31.801262
5,1,-55.834015,2,-61.235602,3,-36.726302,4,-32.788318,5,-33.235302
6,1,-52.122944,2,-60.582774,3,-34.676569,4,-30.522773,5,-30.817695
7,1,-44.926254,2,-56.454859,3,-29.043935,4,-24.667967,5,-24.809451
8,1,-42.641999,2,-57.242028,3,-28.239188,4,-23.634934,5,-23.62199
9,1,-40.871492,2,-58.50134,3,-27.873788,4,-23.035453,5,-22.867485
10,1,-39.742129,2,-60.254668,3,-28.083294,4,-23.005473,5,-22.682285
11,1,-44.006675,2,-67.06248,3,-33.627081,4,-28.304842,5,-27.826639
12,1,-44.25161,2,-69.242404,3,-35.096997,4,-29.525961,5,-28.893354
13,1,-45.239613,2,-71.31282,3,-37.260087,4,-31.436521,5,-30.650516
14,1,-43.63371,2,-69.878679,3,-36.782908,4,-30.703818,5,-29.765816
15,1,-44.052846,2,-69.736643,3,-38.28725,4,-31.950476,5,-30.862258
16,1,-46.608482,2,-71.282915,3,-41.886837,4,-35.291151,5,-34.054867
17,1,-45.793165,2,-69.256065,3,-42.075983,4,-35.221185,5,-33.839339
18,1,-37.835561,2,-60.041941,3,-35.0847,4,-27.971708,5,-26.447138
19,1,-42.404147,2,-63.39224,3,-40.582445,4,-33.213387,5,-31.549246
20,1,-39.06889,2,-58.91432,3,-38.139866,4,-30.518154,5,-28.717886
