Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-46.756373,2,-39.698891,3,-26.585594,4,-24.532126,5,-25.967382
2,1,-46.054077,2,-38.783222,3,-25.64025,4,-23.563452,5,-24.973167
3,1,-47.386437,2,-40.356684,3,-27.186536,4,-25.086766,5,-26.471231
4,1,-45.195795,2,-38.404162,3,-25.209341,4,-23.086957,5,-24.44646
5,1,-51.299341,2,-44.742656,3,-31.525666,4,-29.381023,5,-30.715853
6,1,-49.771192,2,-43.44611,3,-30.209454,4,-28.04291,5,-29.353351
7,1,-49.002757,2,-42.905782,3,-29.651958,4,-27.463866,5,-28.750203
8,1,-48.283679,2,-42.411179,3,-29.142676,4,-26.933391,5,-28.195905
9,1,-44.064889,2,-38.413116,3,-25.132412,4,-22.902287,5,-24.141258
10,1,-44.2251,2,-38.790201,3,-25.499759,4,-23.249146,5,-24.464852
11,1,-42.9742,2,-37.752235,3,-24.454502,4,-22.183751,5,-23.376468
12,1,-43.465363,2,-38.452318,3,-25.149721,4,-22.859181,5,-24.029183
13,1,-45.857917,2,-41.049719,3,-27.744659,4,-25.434679,5,-26.582236
14,1,-46.003375,2,-39.766277,3,-26.460588,4,-24.131457,5,-25.256842
15,1,-46.525673,2,-41.457744,3,-28.039674,4,-25.679771,5,-26.783651
16,1,-47.334907,2,-42.990831,3,-29.459395,4,-27.068463,5,-28.150621
17,1,-48.242102,2,-44.038661,3,-30.392892,4,-27.970676,5,-29.030895
18,1,-46.630353,2,-42.573459,3,-28.812415,4,-26.35866,5,-27.396726
19,1,-48.258485,2,-44.354091,3,-30.476853,4,-27.991306,5,-29.007005
20,1,-48.866478,2,-45.120567,3,-31.126246,4,-28.608654,5,-29.601776
