simTime,id_1,rssi_1,id_2,rssi_2,id_3,rssi_3,id_4,rssi_4,id_5,rssi_5,id_6,rssi_6,id_7,rssi_7,id_8,rssi_8,id_9,rssi_9,id_10,rssi_10
0.0,1.0,47.723319,2.0,64.01132,3.0,57.827942,4.0,43.165663,5.0,87.865147,6.0,23.863465,7.0,42.766261,8.0,46.9979,9.0,40.391593,10.0,53.993578
0.2,1.0,46.754823,2.0,53.41871,3.0,42.452811,4.0,62.720205,5.0,43.900703,6.0,36.001402,7.0,49.391502,8.0,39.236763,9.0,45.287528,10.0,60.990197
0.4,1.0,28.523319,2.0,34.358554,3.0,26.696814,4.0,41.337454,5.0,30.417978,6.0,20.934793,7.0,25.667299,8.0,26.155632,9.0,26.585448,10.0,36.92119
0.6,1.0,25.07906,2.0,31.399502,3.0,24.421435,4.0,34.006358,5.0,28.75558,6.0,14.865439,7.0,21.77233,8.0,24.125851,9.0,22.795172,10.0,32.809839
0.8,1.0,25.888666,2.0,32.573685,3.0,25.943666,4.0,32.382864,5.0,30.994,6.0,13.405293,7.0,22.010722,8.0,25.586941,9.0,22.910112,10.0,33.139256
1.0,1.0,46.664287,2.0,61.810821,3.0,56.699594,4.0,42.774508,5.0,88.88646,6.0,24.259484,7.0,43.170257,8.0,46.756373,9.0,40.863049,10.0,53.635727
1.2,1.0,46.989857,2.0,54.935297,3.0,39.592756,4.0,60.84679,5.0,44.581597,6.0,35.702791,7.0,49.415115,8.0,39.698891,9.0,44.451583,10.0,61.11453
1.4,1.0,29.019834,2.0,34.963804,3.0,23.718814,4.0,40.734167,5.0,31.100387,6.0,19.953188,7.0,24.584882,8.0,26.585594,9.0,25.904943,10.0,37.075837
1.6,1.0,25.469459,2.0,31.822518,3.0,21.400534,4.0,33.218105,5.0,29.443249,6.0,13.919405,7.0,20.618877,8.0,24.532126,9.0,22.212256,10.0,32.910829
1.8,1.0,26.193767,2.0,32.856776,3.0,22.875647,4.0,31.498638,5.0,31.681947,6.0,12.503811,7.0,20.831159,8.0,25.967382,9.0,22.402793,10.0,33.202981
