Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-56.699594,2,-39.592756,3,-23.718814,4,-21.400534,5,-22.875647
2,1,-54.802238,2,-41.681981,3,-25.703379,4,-23.343763,5,-24.773031
3,1,-59.357124,2,-47.254358,3,-31.184554,4,-28.785138,5,-30.169799
4,1,-56.382774,2,-45.230934,3,-29.083474,4,-26.645767,5,-27.987026
5,1,-57.676037,2,-47.413073,3,-31.20152,4,-28.727002,5,-30.026028
6,1,-55.884928,2,-46.452916,3,-30.190762,4,-27.680884,5,-28.938818
7,1,-55.344762,2,-46.689551,3,-30.390149,4,-27.846332,5,-29.06428
8,1,-54.509771,2,-46.580679,3,-30.257162,4,-27.680796,5,-28.859835
9,1,-59.467594,2,-52.217131,3,-35.882347,4,-33.274794,5,-34.415969
10,1,-57.802251,2,-51.185886,3,-34.852333,4,-32.214923,5,-33.31925
11,1,-46.505563,2,-40.481515,3,-24.161286,4,-21.495317,5,-22.563785
12,1,-47.48219,2,-42.011248,3,-25.715975,4,-23.022716,5,-24.056285
13,1,-45.946948,2,-40.992307,3,-24.733124,4,-22.013812,5,-23.013415
14,1,-52.431771,2,-47.958888,3,-31.74639,4,-29.002234,5,-29.968778
15,1,-50.539333,2,-46.515795,3,-30.360016,4,-27.59219,5,-28.526556
16,1,-48.395998,2,-44.791402,3,-28.701789,4,-25.911439,5,-26.814483
17,1,-52.064451,2,-48.850291,3,-32.835692,4,-30.023934,5,-30.896487
18,1,-51.692501,2,-48.842066,3,-32.910723,4,-30.078642,5,-30.921513
19,1,-43.315571,2,-40.803843,3,-24.963393,4,-22.112044,5,-22.926019
20,1,-43.397346,2,-41.200907,3,-25.458385,4,-22.588796,5,-23.374637
