Simtime (second),gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI,gNb,RSSI
1,1,-24.259484,2,-35.702791,3,-19.953188,4,-13.919405,5,-12.503811
2,1,-23.271666,2,-36.125579,3,-19.660858,4,-13.666663,5,-12.297397
3,1,-26.636982,2,-39.874302,3,-22.661387,4,-16.710836,5,-15.389702
4,1,-25.687368,2,-39.325289,3,-21.330396,4,-15.427575,5,-14.156403
5,1,-20.450862,2,-34.506291,3,-15.695314,4,-9.844323,5,-8.624964
6,1,-21.425277,2,-35.914242,3,-16.253319,4,-10.45826,5,-9.292587
7,1,-27.567221,2,-42.504019,3,-21.960359,4,-16.225321,5,-15.115222
8,1,-28.185227,2,-43.58121,3,-22.124273,4,-16.453318,5,-15.400695
9,1,-37.743273,2,-53.605161,3,-31.208312,4,-25.605459,5,-24.612225
10,1,-37.916623,2,-54.244183,3,-30.88697,4,-25.356182,5,-24.424257
11,1,-40.552323,2,-57.335275,3,-33.00648,4,-27.551646,5,-26.682952
12,1,-40.722595,2,-57.936589,3,-32.638192,4,-27.263118,5,-26.459573
13,1,-38.779263,2,-56.380905,3,-30.132999,4,-24.841387,5,-24.104906
14,1,-38.816425,2,-56.737549,3,-29.584001,4,-24.379439,5,-23.711924
15,1,-38.841111,2,-56.982874,3,-28.997142,4,-23.883091,5,-23.286428
16,1,-39.194513,2,-57.422519,3,-28.712439,4,-23.692217,5,-23.16827
17,1,-42.177401,2,-60.319591,3,-31.029378,4,-26.10615,5,-25.656758
18,1,-42.597505,2,-60.44677,3,-30.754281,4,-25.93105,5,-25.558019
19,1,-38.521602,2,-55.844296,3,-25.952374,4,-21.231968,5,-20.937063
20,1,-38.501903,2,-55.051683,3,-25.174154,4,-20.559218,5,-20.344163
